"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",83.9285714285714,80.7142857142857,86.9047619047619
"2","iconic",85.7142857142857,83.8095238095238,87.2619047619048
"3","unicolor",88.9285714285714,86.4285714285714,90.9523809523809
