"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",4.12121212121212,3.45454545454545,4.6969696969697
"2","iconic",3.18181818181818,2.45454545454545,3.78787878787879
"3","unicolor",6.6969696969697,6.27272727272727,6.93939393939394
