"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",2534.19298245614,2214.57894736842,2742.66666666667
"2","iconic",2640.48391812866,2517.75,2747.02339181287
"3","unicolor",2553.60113519092,2488.88235294118,2593.11403508772
