"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",87.2222222222222,82.6851851851852,90.6481481481482
"2","iconic",88.3333333333333,84.9074074074074,90.6481481481482
"3","unicolor",93.6111111111111,90.7407407407407,95.462962962963
