"","technique","mean_time","lowerBound_CI","upperBound_CI","corrected_CI","lowerBound_CI_corr","upperBound_CI_corr"
"1","geo-icon",-106.290935672515,-351.754385964912,118.377192982456,0.983333333333333,-351.754385964912,322.25
"2","geo-uni",-19.408152734778,-274.303405572755,149.552631578948,0.983333333333333,-274.303405572755,149.552631578948
"3","uni-icon",-86.8827829377366,-272.868421052632,33.9637082903335,0.983333333333333,-272.868421052632,33.9637082903335
