"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",3.2,2.52307692307692,3.98461538461538
"2","iconic",3.87692307692308,3.18461538461538,4.63076923076923
"3","unicolor",4.55384615384615,3.61538461538462,5.4
