"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",2481.08818237146,2266.61898261182,2662.72991533035
"2","iconic",2592.95757058559,2370.99134798978,2859.80364981019
"3","unicolor",2362.59417453891,2162.57552568369,2612.27635430831
