"","technique","mean_time","lowerBound_CI","upperBound_CI "
"1","geometric",3.99145299145299,3.25641025641026,4.7008547008547
"2","iconic",4.06293706293706,3.35664335664336,4.85314685314685
"3","unicolor",6.38461538461538,6.02797202797203,6.68531468531468
