participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
zntkjpw,0,2257,training,pie,1,mushroom,corn,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,1
zntkjpw,0,736,training,pie,27,corn,olive,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,2
zntkjpw,1,2499,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,0
zntkjpw,1,2369,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,1
zntkjpw,1,2361,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,2
zntkjpw,1,1256,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,3
zntkjpw,0,2853,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,4
zntkjpw,1,3464,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,5
zntkjpw,0,1534,real,pie,2,mushroom,celery,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,6
zntkjpw,1,1691,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,7
zntkjpw,1,3221,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,8
zntkjpw,1,2662,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,9
zntkjpw,1,1747,training,pie,7,celery,eggplant,celery,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,0
zntkjpw,1,797,training,pie,7,celery,eggplant,celery,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,1
zntkjpw,0,2147,training,pie,18,eggplant,corn,eggplant,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,2
zntkjpw,1,1607,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,0
zntkjpw,1,1811,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,1
zntkjpw,1,2305,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,2
zntkjpw,1,751,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,3
zntkjpw,1,2583,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,4
zntkjpw,1,2349,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,5
zntkjpw,1,4553,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,6
zntkjpw,1,2523,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,7
zntkjpw,0,900,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,8
zntkjpw,0,3575,real,pie,4,carrot,mushroom,carrot,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,9
zntkjpw,1,3366,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,0
zntkjpw,1,3277,training,pie,11,carrot,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,1
zntkjpw,1,2296,training,pie,18,eggplant,corn,eggplant,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,2
zntkjpw,1,868,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,0
zntkjpw,1,3744,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,1
zntkjpw,1,1933,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,2
zntkjpw,1,1357,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,3
zntkjpw,1,2495,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,4
zntkjpw,1,3088,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,5
zntkjpw,1,4267,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,6
zntkjpw,1,3919,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,7
zntkjpw,1,3413,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,8
zntkjpw,1,2784,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,9
